Particle: X:[7.84641, -90.2723, 0] v: [-0.120364, -10.1242, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[-1.00675, -89.759, 0] v: [0.00444603, -10.073, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[9.90552, -83.9615, 0] v: [-0.0267966, -9.94233, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[-3.03364, -84.2927, 0] v: [-0.0859026, -9.97542, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[9.94367, -85.2505, 0] v: [-0.0229852, -9.95897, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[-1.61242, -85.0346, 0] v: [0.0560769, -9.9374, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[9.80768, -84.1825, 0] v: [-0.0365705, -10.0765, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[-3.084, -83.3371, 0] v: [-0.0909344, -9.9921, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[10.7145, -86.9997, 0] v: [0.0540197, -10.0216, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[-1.97802, -90.1867, 0] v: [0.0195531, -10.34, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[5.07912, -115.543, -1.04169] v: [0.0517351, -10.1003, -0.160134] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[3.04354, -116.247, 0.943109] v: [-0.0394812, -10.1707, 0.0381477] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[3.77797, -114.718, 0.40812] v: [-0.0782493, -9.90573, -0.0152977] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[4.54678, -114.983, -0.855874] v: [0.110692, -9.93224, -0.141571] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
